"...1","year","period","predicted_abundance","arma","aicc","Lo 50","Hi 50","Lo 95","Hi 95","model","abundance","error","APE","MAPE","rank"
314,2019,1,42115.5701755386,"0000210",25.4810147876841,33068.7189994747,53637.4345567752,20857.1612713607,85041.3547718136,"4",340.7,-41774.8701755386,122.61482293965,NA,13
328,2020,1,34537.9665967646,"0000210",25.518616552115,27201.1220049691,43853.7475189925,17255.6583129177,69129.2742941157,"4",387.7,-34150.2665967646,88.0842574071824,21133.8000895404,12
342,2021,1,65443.9971097683,"0000210",28.5131742689825,51073.7004894981,83857.5767303964,31841.244654892,134508.459205138,"4",841.3,-64602.6971097683,76.789132425732,20592.1431196423,13
356,2022,1,56625.3216239132,"0000210",28.4411021640923,44348.387524897,72300.871079282,27835.8744571582,115190.455178499,"4",696,-55929.3216239132,80.3582207240132,20312.6474578424,13
370,2023,1,80070.5207405167,"0000210",28.996812440316,62767.2116922418,102143.907922709,39464.711233427,162456.232195286,"4",NA,NA,NA,19923.0424092225,13
133,2006,1,60893.5626422992,"0000210",15.6125724480739,47870.0193100094,77460.2982141743,30261.3129489873,122533.545637044,"5",523.4,-60370.1626422992,115.342305392241,NA,5
147,2007,1,79926.7983877287,"0000210",15.7213946379317,63110.7938106924,101223.462973307,40233.2522774263,158781.424292088,"5",545.3,-79381.4983877287,145.573993008855,NA,5
161,2008,1,36152.7290124068,"0000210",19.7819929821903,27849.2381356362,46931.9774091789,16936.6666343535,77171.0185517513,"5",576.9,-35575.8290124068,61.6672369776509,NA,11
175,2009,1,56980.723118523,"0000210",20.7767528559428,43857.9718235481,74029.9350862029,26631.3377804066,121916.624462574,"5",1051,-55929.723118523,53.2157213306594,NA,11
189,2010,1,54504.1300930258,"0000210",20.6068428305405,42256.6819637003,70301.312340363,26015.6372478015,114189.022890397,"5",546.5,-53957.6300930258,98.7330834273116,NA,11
203,2011,1,71295.2148768063,"0000210",20.9531918136835,55449.5924158878,91668.98155366,34344.1084909188,148002.317942654,"5",454.2,-70841.0148768063,155.968768993409,NA,11
217,2012,1,82370.3137629097,"0000210",20.8175269142097,64428.6521385251,105308.249733556,40340.4783333004,168190.087716421,"5",183.1,-82187.2137629097,448.865176203767,NA,11
231,2013,1,58120.01750015,"0000210",21.4528974407442,45498.1561863031,74243.369783733,28532.6030907224,118388.652569737,"5",335.1,-57784.91750015,172.440816174724,NA,11
245,2014,1,67308.9549994519,"0000210",21.3488296380653,52937.8552738608,85581.3934977315,33494.5468349046,135260.687223182,"5",1316.5,-65992.4549994519,50.1271971131424,NA,11
